Order_Id,Type,Order_Date(DateOrders),Shipping_Date(DateOrders),Days_for_Shipment(scheduled),Days_for_Shipping(real),Delivery_Status,Late_Delivery_Risk,Shipping_Mode,Order_Item_Quantity,Order_Item_Discount_Rate,Product_Category_Id,Order_Region,Customer_Country,Customer_Segment
75834,Payment,01-01-2025,16-01-2025,2,5,Late delivery,1,Second Class,1,0.02,73,South Asia,EE. UU.,Corporate
75833,Debit,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.029999999,73,South Asia,Puerto Rico,Corporate
75832,Cash,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.039999999,73,South Asia,EE. UU.,Corporate
75831,Payment,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.050000001,73,South Asia,Puerto Rico,Home Office
75830,Payment,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0.059999999,73,Southeast Asia,EE. UU.,Corporate
75829,Payment,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.07,73,Southeast Asia,EE. UU.,Corporate
75828,Debit,01-01-2025,15-01-2025,4,4,Shipping on time,0,Standard Class,1,0.090000004,73,Southeast Asia,EE. UU.,Consumer
75827,Debit,01-01-2025,14-01-2025,4,3,Advance shipping,0,Standard Class,1,0.100000001,73,Oceania,Puerto Rico,Consumer
75826,Cash,01-01-2025,13-01-2025,4,2,Advance shipping,0,Standard Class,1,0.119999997,73,Southeast Asia,EE. UU.,Home Office
75825,Debit,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0.129999995,73,Southeast Asia,Puerto Rico,Consumer
75824,Cash,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.150000006,73,South Asia,EE. UU.,Consumer
75823,Transfer,01-01-2025,15-01-2025,4,4,Shipping on time,0,Standard Class,1,0.159999996,73,South Asia,Puerto Rico,Corporate
75822,Debit,01-01-2025,14-01-2025,4,3,Advance shipping,0,Standard Class,1,0.170000002,73,South Asia,EE. UU.,Consumer
75821,Debit,01-01-2025,13-01-2025,4,2,Advance shipping,0,Standard Class,1,0.180000007,73,South Asia,Puerto Rico,Consumer
75820,Debit,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0.200000003,73,Southeast Asia,EE. UU.,Home Office
75819,Debit,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.25,73,Southeast Asia,Puerto Rico,Home Office
75818,Transfer,01-01-2025,15-01-2025,4,4,Shipping on time,0,Standard Class,1,0,73,Oceania,EE. UU.,Home Office
75817,Cash,01-01-2025,14-01-2025,4,3,Advance shipping,0,Standard Class,1,0.01,73,Oceania,Puerto Rico,Corporate
75816,Transfer,01-01-2025,13-01-2025,4,2,Advance shipping,0,Standard Class,1,0.02,73,Southeast Asia,EE. UU.,Corporate
75815,Debit,01-01-2025,17-01-2025,4,6,Late delivery,1,Standard Class,1,0.029999999,73,Eastern Asia,EE. UU.,Consumer
75814,Payment,01-01-2025,16-01-2025,4,5,Late delivery,1,Standard Class,1,0.039999999,73,Eastern Asia,Puerto Rico,Consumer
75813,Payment,01-01-2025,15-01-2025,2,4,Late delivery,1,Second Class,1,0.050000001,73,Southeast Asia,EE. UU.,Consumer
75812,Payment,01-01-2025,14-01-2025,2,3,Late delivery,1,Second Class,1,0.059999999,73,Oceania,Puerto Rico,Consumer
75811,Payment,01-01-2025,13-01-2025,1,2,Late delivery,1,First Class,1,0.07,73,Eastern Asia,EE. UU.,Consumer
75810,Debit,01-01-2025,17-01-2025,2,6,Late delivery,1,Second Class,1,0.090000004,73,Eastern Asia,EE. UU.,Consumer
75809,Debit,01-01-2025,16-01-2025,2,5,Late delivery,1,Second Class,1,0.100000001,73,Eastern Asia,EE. UU.,Consumer
75808,Debit,01-01-2025,15-01-2025,2,4,Late delivery,1,Second Class,1,0.119999997,73,Eastern Asia,Puerto Rico,Consumer
75807,Payment,01-01-2025,01-02-2025,0,1,Late delivery,1,Same Day,1,0.129999995,73,Eastern Asia,Puerto Rico,Corporate
75806,Debit,01-01-2025,01-02-2025,0,1,Late delivery,1,Same Day,1,0.150000006,73,Eastern Asia,EE. UU.,Corporate
75805,Debit,01-01-2025,01-02-2025,0,1,Late delivery,1,Same Day,1,0.159999996,73,Oceania,EE. UU.,Corporate
