Order_Id,Type,Order_Date(DateOrders),Shipping_Date(DateOrders),Product_Category_Id,Order_Item_Quantity,Order_Item_Discount_Rate,Order_Region,Customer_Country,Customer_Segment,Product_Name,Unit_Price,Total Amount
75834,Payment,01-01-2025,16-01-2025,73,1,0.02,South Asia,EE. UU.,Corporate,Coffee Maker,39.99,39.1902
75833,Debit,01-01-2025,13-01-2025,73,1,0.029999999,South Asia,Puerto Rico,Corporate,Coffee Maker,39.99,38.79030004
75832,Cash,01-01-2025,13-01-2025,73,1,0.039999999,South Asia,EE. UU.,Corporate,Coffee Maker,39.99,38.39040004
75831,Payment,01-01-2025,13-01-2025,73,1,0.050000001,South Asia,Puerto Rico,Home Office,Coffee Maker,39.99,37.99049996
75830,Payment,01-01-2025,17-01-2025,73,1,0.059999999,Southeast Asia,EE. UU.,Corporate,Coffee Maker,39.99,37.59060004
75829,Payment,01-01-2025,16-01-2025,73,1,0.07,Southeast Asia,EE. UU.,Corporate,Coffee Maker,39.99,37.1907
75828,Debit,01-01-2025,15-01-2025,73,1,0.090000004,Southeast Asia,EE. UU.,Consumer,Coffee Maker,39.99,36.39089984
75827,Debit,01-01-2025,14-01-2025,73,1,0.100000001,Oceania,Puerto Rico,Consumer,Coffee Maker,39.99,35.99099996
75826,Cash,01-01-2025,13-01-2025,73,1,0.119999997,Southeast Asia,EE. UU.,Home Office,Coffee Maker,39.99,35.19120012
75825,Debit,01-01-2025,17-01-2025,73,1,0.129999995,Southeast Asia,Puerto Rico,Consumer,Coffee Maker,39.99,34.7913002
75824,Cash,01-01-2025,16-01-2025,73,1,0.150000006,South Asia,EE. UU.,Consumer,Coffee Maker,39.99,33.99149976
75823,Transfer,01-01-2025,15-01-2025,73,1,0.159999996,South Asia,Puerto Rico,Corporate,Coffee Maker,39.99,33.59160016
75822,Debit,01-01-2025,14-01-2025,73,1,0.170000002,South Asia,EE. UU.,Consumer,Coffee Maker,39.99,33.19169992
75821,Debit,01-01-2025,13-01-2025,73,1,0.180000007,South Asia,Puerto Rico,Consumer,Coffee Maker,39.99,32.79179972
75820,Debit,01-01-2025,17-01-2025,73,1,0.200000003,Southeast Asia,EE. UU.,Home Office,Coffee Maker,39.99,31.99199988
75819,Debit,01-01-2025,16-01-2025,73,1,0.25,Southeast Asia,Puerto Rico,Home Office,Coffee Maker,39.99,29.9925
75818,Transfer,01-01-2025,15-01-2025,73,1,0,Oceania,EE. UU.,Home Office,Coffee Maker,39.99,39.99
75817,Cash,01-01-2025,14-01-2025,73,1,0.01,Oceania,Puerto Rico,Corporate,Coffee Maker,39.99,39.5901
75816,Transfer,01-01-2025,13-01-2025,73,1,0.02,Southeast Asia,EE. UU.,Corporate,Coffee Maker,39.99,39.1902
75815,Debit,01-01-2025,17-01-2025,73,1,0.029999999,Eastern Asia,EE. UU.,Consumer,Coffee Maker,39.99,38.79030004
75814,Payment,01-01-2025,16-01-2025,73,1,0.039999999,Eastern Asia,Puerto Rico,Consumer,Coffee Maker,39.99,38.39040004
75813,Payment,01-01-2025,15-01-2025,73,1,0.050000001,Southeast Asia,EE. UU.,Consumer,Coffee Maker,39.99,37.99049996
75812,Payment,01-01-2025,14-01-2025,73,1,0.059999999,Oceania,Puerto Rico,Consumer,Coffee Maker,39.99,37.59060004
75811,Payment,01-01-2025,13-01-2025,73,1,0.07,Eastern Asia,EE. UU.,Consumer,Coffee Maker,39.99,37.1907
75810,Debit,01-01-2025,17-01-2025,73,1,0.090000004,Eastern Asia,EE. UU.,Consumer,Coffee Maker,39.99,36.39089984
75809,Debit,01-01-2025,16-01-2025,73,1,0.100000001,Eastern Asia,EE. UU.,Consumer,Coffee Maker,39.99,35.99099996
75808,Debit,01-01-2025,15-01-2025,73,1,0.119999997,Eastern Asia,Puerto Rico,Consumer,Coffee Maker,39.99,35.19120012
75807,Payment,01-01-2025,01-02-2025,73,1,0.129999995,Eastern Asia,Puerto Rico,Corporate,Coffee Maker,39.99,34.7913002
75806,Debit,01-01-2025,01-02-2025,73,1,0.150000006,Eastern Asia,EE. UU.,Corporate,Coffee Maker,39.99,33.99149976
75805,Debit,01-01-2025,01-02-2025,73,1,0.159999996,Oceania,EE. UU.,Corporate,Coffee Maker,39.99,33.59160016
75804,Debit,01-01-2025,01-02-2025,73,1,0.170000002,Oceania,Puerto Rico,Corporate,Coffee Maker,39.99,33.19169992
75803,Cash,01-01-2025,01-02-2025,73,1,0.180000007,Oceania,EE. UU.,Consumer,Coffee Maker,39.99,32.79179972
75802,Transfer,01-01-2025,01-02-2025,73,1,0.200000003,Oceania,Puerto Rico,Corporate,Coffee Maker,39.99,31.99199988
75801,Debit,01-01-2025,01-02-2025,73,1,0.25,South Asia,EE. UU.,Home Office,Coffee Maker,39.99,29.9925
75800,Debit,01-01-2025,17-01-2025,73,1,0,South Asia,EE. UU.,Consumer,Coffee Maker,39.99,39.99
75799,Debit,01-01-2025,16-01-2025,73,1,0.01,Southeast Asia,Puerto Rico,Home Office,Coffee Maker,39.99,39.5901
75798,Transfer,01-01-2025,15-01-2025,73,1,0.02,South Asia,EE. UU.,Home Office,Coffee Maker,39.99,39.1902
75797,Transfer,01-01-2025,14-01-2025,73,1,0.029999999,Eastern Asia,Puerto Rico,Consumer,Coffee Maker,39.99,38.79030004
75796,Cash,01-01-2025,13-01-2025,73,1,0.039999999,Oceania,EE. UU.,Home Office,Coffee Maker,39.99,38.39040004
75795,Debit,01-01-2025,17-01-2025,73,1,0.050000001,Oceania,EE. UU.,Corporate,Coffee Maker,39.99,37.99049996
75794,Cash,01-01-2025,16-01-2025,73,1,0.059999999,Oceania,Puerto Rico,Corporate,Coffee Maker,39.99,37.59060004
75793,Payment,01-01-2025,15-01-2025,73,1,0.07,Eastern Asia,EE. UU.,Corporate,Coffee Maker,39.99,37.1907
75792,Payment,01-01-2025,14-01-2025,73,1,0.090000004,Eastern Asia,Puerto Rico,Consumer,Coffee Maker,39.99,36.39089984
75791,Transfer,01-01-2025,13-01-2025,73,1,0.100000001,Eastern Asia,EE. UU.,Consumer,Coffee Maker,39.99,35.99099996
75790,Transfer,01-01-2025,17-01-2025,73,1,0.119999997,Eastern Asia,Puerto Rico,Corporate,Coffee Maker,39.99,35.19120012
75789,Transfer,01-01-2025,13-01-2025,73,1,0.129999995,Eastern Asia,EE. UU.,Corporate,Coffee Maker,39.99,34.7913002
75788,Transfer,01-01-2025,13-01-2025,73,1,0.150000006,Eastern Asia,Puerto Rico,Corporate,Coffee Maker,39.99,33.99149976
75787,Cash,01-01-2025,13-01-2025,73,1,0.159999996,Eastern Asia,EE. UU.,Corporate,Coffee Maker,39.99,33.59160016
75786,Transfer,01-01-2025,13-01-2025,73,1,0.170000002,South Asia,Puerto Rico,Consumer,Coffee Maker,39.99,33.19169992
75785,Debit,01-01-2025,17-01-2025,73,1,0.180000007,South Asia,EE. UU.,Corporate,Coffee Maker,39.99,32.79179972
75784,Payment,01-01-2025,16-01-2025,73,1,0.200000003,South Asia,Puerto Rico,Corporate,Coffee Maker,39.99,31.99199988
75783,Debit,01-01-2025,15-01-2025,73,1,0.25,Eastern Asia,EE. UU.,Corporate,Coffee Maker,39.99,29.9925
75782,Debit,01-01-2025,14-01-2025,73,1,0,Oceania,EE. UU.,Corporate,Coffee Maker,39.99,39.99
