Order_Id,Supplier_Name,Supplier_Country,Product_Name,Order_Item_Quantity,Expected_Delivery_Date,Actual_Delivery_Date,Days_Delayed
75834,BrewMaster,Italy,Coffee Maker,1,03-01-2025,06-01-2025,3
75833,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75832,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75831,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75830,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75829,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75828,BrewMaster,Italy,Coffee Maker,1,05-01-2025,05-01-2025,0
75827,BrewMaster,Italy,Coffee Maker,1,05-01-2025,04-01-2025,-1
75826,BrewMaster,Italy,Coffee Maker,1,05-01-2025,03-01-2025,-2
75825,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75824,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75823,BrewMaster,Italy,Coffee Maker,1,05-01-2025,05-01-2025,0
75822,BrewMaster,Italy,Coffee Maker,1,05-01-2025,04-01-2025,-1
75821,BrewMaster,Italy,Coffee Maker,1,05-01-2025,03-01-2025,-2
75820,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75819,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75818,BrewMaster,Italy,Coffee Maker,1,05-01-2025,05-01-2025,0
75817,BrewMaster,Italy,Coffee Maker,1,05-01-2025,04-01-2025,-1
75816,BrewMaster,Italy,Coffee Maker,1,05-01-2025,03-01-2025,-2
75815,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75814,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75813,BrewMaster,Italy,Coffee Maker,1,03-01-2025,05-01-2025,2
75812,BrewMaster,Italy,Coffee Maker,1,03-01-2025,04-01-2025,1
75811,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75810,BrewMaster,Italy,Coffee Maker,1,03-01-2025,07-01-2025,4
75809,BrewMaster,Italy,Coffee Maker,1,03-01-2025,06-01-2025,3
75808,BrewMaster,Italy,Coffee Maker,1,03-01-2025,05-01-2025,2
75807,BrewMaster,Italy,Coffee Maker,1,01-01-2025,02-01-2025,1
75806,BrewMaster,Italy,Coffee Maker,1,01-01-2025,02-01-2025,1
75805,BrewMaster,Italy,Coffee Maker,1,01-01-2025,02-01-2025,1
75804,BrewMaster,Italy,Coffee Maker,1,01-01-2025,02-01-2025,1
75803,BrewMaster,Italy,Coffee Maker,1,01-01-2025,02-01-2025,1
75802,BrewMaster,Italy,Coffee Maker,1,01-01-2025,02-01-2025,1
75801,BrewMaster,Italy,Coffee Maker,1,01-01-2025,02-01-2025,1
75800,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75799,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75798,BrewMaster,Italy,Coffee Maker,1,05-01-2025,05-01-2025,0
75797,BrewMaster,Italy,Coffee Maker,1,05-01-2025,04-01-2025,-1
75796,BrewMaster,Italy,Coffee Maker,1,03-01-2025,03-01-2025,0
75795,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75794,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75793,BrewMaster,Italy,Coffee Maker,1,05-01-2025,05-01-2025,0
75792,BrewMaster,Italy,Coffee Maker,1,05-01-2025,04-01-2025,-1
75791,BrewMaster,Italy,Coffee Maker,1,03-01-2025,03-01-2025,0
75790,BrewMaster,Italy,Coffee Maker,1,03-01-2025,07-01-2025,4
75789,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75788,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75787,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75786,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75785,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75784,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75783,BrewMaster,Italy,Coffee Maker,1,05-01-2025,05-01-2025,0
75782,BrewMaster,Italy,Coffee Maker,1,05-01-2025,04-01-2025,-1
75781,BrewMaster,Italy,Coffee Maker,1,05-01-2025,03-01-2025,-2
75780,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75779,BrewMaster,Italy,Coffee Maker,1,03-01-2025,06-01-2025,3
75778,BrewMaster,Italy,Coffee Maker,1,03-01-2025,05-01-2025,2
75777,BrewMaster,Italy,Coffee Maker,1,03-01-2025,04-01-2025,1
75776,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75775,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75774,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75773,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75772,BrewMaster,Italy,Coffee Maker,1,02-01-2025,03-01-2025,1
75771,BrewMaster,Italy,Coffee Maker,1,01-01-2025,01-01-2025,0
75770,BrewMaster,Italy,Coffee Maker,1,05-01-2025,07-01-2025,2
75769,BrewMaster,Italy,Coffee Maker,1,05-01-2025,06-01-2025,1
75768,BrewMaster,Italy,Coffee Maker,1,05-01-2025,05-01-2025,0
75767,BrewMaster,Italy,Coffee Maker,1,05-01-2025,04-01-2025,-1
75106,GermanWorks,Germany,Computer Desk,1,05-01-2025,03-01-2025,-2
75116,GermanWorks,Germany,Computer Desk,1,05-01-2025,03-01-2025,-2
75144,GermanWorks,Germany,Computer Desk,1,03-01-2025,06-01-2025,3
75131,GermanWorks,Germany,Computer Desk,1,03-01-2025,03-01-2025,0
75149,GermanWorks,Germany,Computer Desk,1,03-01-2025,06-01-2025,3
75122,GermanWorks,Germany,Computer Desk,1,05-01-2025,04-01-2025,-1
75098,GermanWorks,Germany,Computer Desk,1,03-01-2025,05-01-2025,2
75123,GermanWorks,Germany,Computer Desk,1,02-01-2025,03-01-2025,1
75104,GermanWorks,Germany,Computer Desk,1,05-01-2025,06-01-2025,1
75095,GermanWorks,Germany,Computer Desk,1,05-01-2025,07-01-2025,2
75112,GermanWorks,Germany,Computer Desk,1,05-01-2025,04-01-2025,-1
75124,GermanWorks,Germany,Computer Desk,1,02-01-2025,03-01-2025,1
75083,Nordic Craft,Sweden ,Office Chair,1,02-01-2025,03-01-2025,1
75085,Nordic Craft,Sweden ,Office Chair,1,02-01-2025,03-01-2025,1
75088,Nordic Craft,Sweden ,Office Chair,1,02-01-2025,03-01-2025,1
75136,GermanWorks,Germany,Computer Desk,1,01-01-2025,02-01-2025,1
75094,GermanWorks,Germany,Computer Desk,1,05-01-2025,06-01-2025,1
75143,GermanWorks,Germany,Computer Desk,1,03-01-2025,05-01-2025,2
75119,GermanWorks,Germany,Computer Desk,1,05-01-2025,06-01-2025,1
75134,GermanWorks,Germany,Computer Desk,1,05-01-2025,06-01-2025,1
75107,GermanWorks,Germany,Computer Desk,1,05-01-2025,04-01-2025,-1
75086,Nordic Craft,Sweden ,Office Chair,1,02-01-2025,03-01-2025,1
75120,GermanWorks,Germany,Computer Desk,1,05-01-2025,07-01-2025,2
75135,GermanWorks,Germany,Computer Desk,1,05-01-2025,07-01-2025,2
75145,GermanWorks,Germany,Computer Desk,1,03-01-2025,07-01-2025,4
75096,GermanWorks,Germany,Computer Desk,1,05-01-2025,03-01-2025,-2
75146,GermanWorks,Germany,Computer Desk,1,03-01-2025,03-01-2025,0
75139,GermanWorks,Germany,Computer Desk,1,03-01-2025,06-01-2025,3
75118,GermanWorks,Germany,Computer Desk,1,05-01-2025,05-01-2025,0
75132,GermanWorks,Germany,Computer Desk,1,05-01-2025,04-01-2025,-1
75121,GermanWorks,Germany,Computer Desk,1,05-01-2025,03-01-2025,-2
75084,Nordic Craft,Sweden ,Office Chair,1,02-01-2025,03-01-2025,1
75133,GermanWorks,Germany,Computer Desk,1,05-01-2025,05-01-2025,0
75100,GermanWorks,Germany,Computer Desk,1,03-01-2025,07-01-2025,4
75099,GermanWorks,Germany,Computer Desk,1,03-01-2025,06-01-2025,3
75097,GermanWorks,Germany,Computer Desk,1,03-01-2025,04-01-2025,1
75130,GermanWorks,Germany,Computer Desk,1,02-01-2025,03-01-2025,1
75092,GermanWorks,Germany,Computer Desk,1,02-01-2025,03-01-2025,1
75089,GermanWorks,Germany,Computer Desk,1,02-01-2025,03-01-2025,1
75087,Nordic Craft,Sweden ,Office Chair,1,02-01-2025,03-01-2025,1
75148,GermanWorks,Germany,Computer Desk,1,03-01-2025,05-01-2025,2
75093,GermanWorks,Germany,Computer Desk,1,03-01-2025,05-01-2025,2
75090,GermanWorks,Germany,Computer Desk,1,03-01-2025,07-01-2025,4
75141,GermanWorks,Germany,Computer Desk,1,03-01-2025,03-01-2025,0
75117,GermanWorks,Germany,Computer Desk,1,05-01-2025,04-01-2025,-1
75140,GermanWorks,Germany,Computer Desk,1,03-01-2025,07-01-2025,4
75138,GermanWorks,Germany,Computer Desk,1,03-01-2025,05-01-2025,2
75110,GermanWorks,Germany,Computer Desk,1,05-01-2025,07-01-2025,2
