Order_Id,Type,Order_Date(DateOrders),Shipping_Date(DateOrders),Days_for_Shipment(scheduled),Days_for_Shipping(real),Delivery_Status,Late_Delivery_Risk,Shipping_Mode,Order_Item_Quantity,Order_Item_Discount_Rate,Product_Category_Id,Order_Region,Customer_Country,Customer_Segment,Delivery_Delay,On_Time_Delivery,Order_Month
75834,Payment,2025-01-01,2025-01-16,2,5,Late delivery,1,Second Class,1,0.02,73,South Asia,EE. UU.,Corporate,3,0,1
75833,Debit,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.029999999,73,South Asia,Puerto Rico,Corporate,1,0,1
75832,Cash,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.039999999,73,South Asia,EE. UU.,Corporate,1,0,1
75831,Payment,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.050000001,73,South Asia,Puerto Rico,Home Office,1,0,1
75830,Payment,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.059999999,73,Southeast Asia,EE. UU.,Corporate,2,0,1
75829,Payment,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.07,73,Southeast Asia,EE. UU.,Corporate,1,0,1
75828,Debit,2025-01-01,2025-01-15,4,4,Shipping on time,0,Standard Class,1,0.090000004,73,Southeast Asia,EE. UU.,Consumer,0,1,1
75827,Debit,2025-01-01,2025-01-14,4,3,Advance shipping,0,Standard Class,1,0.100000001,73,Oceania,Puerto Rico,Consumer,-1,1,1
75826,Cash,2025-01-01,2025-01-13,4,2,Advance shipping,0,Standard Class,1,0.119999997,73,Southeast Asia,EE. UU.,Home Office,-2,1,1
75825,Debit,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.129999995,73,Southeast Asia,Puerto Rico,Consumer,2,0,1
75824,Cash,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.150000006,73,South Asia,EE. UU.,Consumer,1,0,1
75823,Transfer,2025-01-01,2025-01-15,4,4,Shipping on time,0,Standard Class,1,0.159999996,73,South Asia,Puerto Rico,Corporate,0,1,1
75822,Debit,2025-01-01,2025-01-14,4,3,Advance shipping,0,Standard Class,1,0.170000002,73,South Asia,EE. UU.,Consumer,-1,1,1
75821,Debit,2025-01-01,2025-01-13,4,2,Advance shipping,0,Standard Class,1,0.180000007,73,South Asia,Puerto Rico,Consumer,-2,1,1
75820,Debit,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.200000003,73,Southeast Asia,EE. UU.,Home Office,2,0,1
75819,Debit,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.25,73,Southeast Asia,Puerto Rico,Home Office,1,0,1
75818,Transfer,2025-01-01,2025-01-15,4,4,Shipping on time,0,Standard Class,1,0.0,73,Oceania,EE. UU.,Home Office,0,1,1
75817,Cash,2025-01-01,2025-01-14,4,3,Advance shipping,0,Standard Class,1,0.01,73,Oceania,Puerto Rico,Corporate,-1,1,1
75816,Transfer,2025-01-01,2025-01-13,4,2,Advance shipping,0,Standard Class,1,0.02,73,Southeast Asia,EE. UU.,Corporate,-2,1,1
75815,Debit,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.029999999,73,Eastern Asia,EE. UU.,Consumer,2,0,1
75814,Payment,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.039999999,73,Eastern Asia,Puerto Rico,Consumer,1,0,1
75813,Payment,2025-01-01,2025-01-15,2,4,Late delivery,1,Second Class,1,0.050000001,73,Southeast Asia,EE. UU.,Consumer,2,0,1
75812,Payment,2025-01-01,2025-01-14,2,3,Late delivery,1,Second Class,1,0.059999999,73,Oceania,Puerto Rico,Consumer,1,0,1
75811,Payment,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.07,73,Eastern Asia,EE. UU.,Consumer,1,0,1
75810,Debit,2025-01-01,2025-01-17,2,6,Late delivery,1,Second Class,1,0.090000004,73,Eastern Asia,EE. UU.,Consumer,4,0,1
75809,Debit,2025-01-01,2025-01-16,2,5,Late delivery,1,Second Class,1,0.100000001,73,Eastern Asia,EE. UU.,Consumer,3,0,1
75808,Debit,2025-01-01,2025-01-15,2,4,Late delivery,1,Second Class,1,0.119999997,73,Eastern Asia,Puerto Rico,Consumer,2,0,1
75807,Payment,2025-01-01,2025-02-01,0,1,Late delivery,1,Same Day,1,0.129999995,73,Eastern Asia,Puerto Rico,Corporate,1,0,1
75806,Debit,2025-01-01,2025-02-01,0,1,Late delivery,1,Same Day,1,0.150000006,73,Eastern Asia,EE. UU.,Corporate,1,0,1
75805,Debit,2025-01-01,2025-02-01,0,1,Late delivery,1,Same Day,1,0.159999996,73,Oceania,EE. UU.,Corporate,1,0,1
75804,Debit,2025-01-01,2025-02-01,0,1,Late delivery,1,Same Day,1,0.170000002,73,Oceania,Puerto Rico,Corporate,1,0,1
75803,Cash,2025-01-01,2025-02-01,0,1,Late delivery,1,Same Day,1,0.180000007,73,Oceania,EE. UU.,Consumer,1,0,1
75802,Transfer,2025-01-01,2025-02-01,0,1,Shipping canceled,0,Same Day,1,0.200000003,73,Oceania,Puerto Rico,Corporate,1,0,1
75801,Debit,2025-01-01,2025-02-01,0,1,Late delivery,1,Same Day,1,0.25,73,South Asia,EE. UU.,Home Office,1,0,1
75800,Debit,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.0,73,South Asia,EE. UU.,Consumer,2,0,1
75799,Debit,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.01,73,Southeast Asia,Puerto Rico,Home Office,1,0,1
75798,Transfer,2025-01-01,2025-01-15,4,4,Shipping on time,0,Standard Class,1,0.02,73,South Asia,EE. UU.,Home Office,0,1,1
75797,Transfer,2025-01-01,2025-01-14,4,3,Advance shipping,0,Standard Class,1,0.029999999,73,Eastern Asia,Puerto Rico,Consumer,-1,1,1
75796,Cash,2025-01-01,2025-01-13,2,2,Shipping on time,0,Second Class,1,0.039999999,73,Oceania,EE. UU.,Home Office,0,1,1
75795,Debit,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.050000001,73,Oceania,EE. UU.,Corporate,2,0,1
75794,Cash,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.059999999,73,Oceania,Puerto Rico,Corporate,1,0,1
75793,Payment,2025-01-01,2025-01-15,4,4,Shipping on time,0,Standard Class,1,0.07,73,Eastern Asia,EE. UU.,Corporate,0,1,1
75792,Payment,2025-01-01,2025-01-14,4,3,Advance shipping,0,Standard Class,1,0.090000004,73,Eastern Asia,Puerto Rico,Consumer,-1,1,1
75791,Transfer,2025-01-01,2025-01-13,2,2,Shipping on time,0,Second Class,1,0.100000001,73,Eastern Asia,EE. UU.,Consumer,0,1,1
75790,Transfer,2025-01-01,2025-01-17,2,6,Late delivery,1,Second Class,1,0.119999997,73,Eastern Asia,Puerto Rico,Corporate,4,0,1
75789,Transfer,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.129999995,73,Eastern Asia,EE. UU.,Corporate,1,0,1
75788,Transfer,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.150000006,73,Eastern Asia,Puerto Rico,Corporate,1,0,1
75787,Cash,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.159999996,73,Eastern Asia,EE. UU.,Corporate,1,0,1
75786,Transfer,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.170000002,73,South Asia,Puerto Rico,Consumer,1,0,1
75785,Debit,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.180000007,73,South Asia,EE. UU.,Corporate,2,0,1
75784,Payment,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.200000003,73,South Asia,Puerto Rico,Corporate,1,0,1
75783,Debit,2025-01-01,2025-01-15,4,4,Shipping on time,0,Standard Class,1,0.25,73,Eastern Asia,EE. UU.,Corporate,0,1,1
75782,Debit,2025-01-01,2025-01-14,4,3,Advance shipping,0,Standard Class,1,0.0,73,Oceania,EE. UU.,Corporate,-1,1,1
75781,Payment,2025-01-01,2025-01-13,4,2,Advance shipping,0,Standard Class,1,0.01,73,Oceania,Puerto Rico,Consumer,-2,1,1
75780,Transfer,2025-01-01,2025-01-17,4,6,Shipping canceled,0,Standard Class,1,0.02,73,Oceania,EE. UU.,Consumer,2,0,1
75779,Debit,2025-01-01,2025-01-16,2,5,Late delivery,1,Second Class,1,0.029999999,73,Oceania,Puerto Rico,Consumer,3,0,1
75778,Debit,2025-01-01,2025-01-15,2,4,Late delivery,1,Second Class,1,0.039999999,73,Eastern Asia,EE. UU.,Home Office,2,0,1
75777,Debit,2025-01-01,2025-01-14,2,3,Late delivery,1,Second Class,1,0.050000001,73,Southeast Asia,EE. UU.,Consumer,1,0,1
75776,Debit,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.059999999,73,Southeast Asia,Puerto Rico,Corporate,1,0,1
75775,Debit,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.07,73,Eastern Asia,EE. UU.,Corporate,1,0,1
75774,Debit,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.090000004,73,Eastern Asia,Puerto Rico,Corporate,1,0,1
75773,Cash,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.100000001,73,Southeast Asia,EE. UU.,Consumer,1,0,1
75772,Payment,2025-01-01,2025-01-13,1,2,Late delivery,1,First Class,1,0.119999997,73,Oceania,EE. UU.,Consumer,1,0,1
75771,Transfer,2025-01-01,2025-01-01,0,0,Shipping on time,0,Same Day,1,0.129999995,73,Southeast Asia,EE. UU.,Consumer,0,1,1
75770,Transfer,2025-01-01,2025-01-17,4,6,Late delivery,1,Standard Class,1,0.150000006,73,Oceania,Puerto Rico,Consumer,2,0,1
75769,Debit,2025-01-01,2025-01-16,4,5,Late delivery,1,Standard Class,1,0.159999996,73,Oceania,EE. UU.,Consumer,1,0,1
75768,Debit,2025-01-01,2025-01-15,4,4,Shipping on time,0,Standard Class,1,0.170000002,73,South Asia,EE. UU.,Consumer,0,1,1
75767,Transfer,2025-01-01,2025-01-14,4,3,Advance shipping,0,Standard Class,1,0.180000007,73,South Asia,Puerto Rico,Consumer,-1,1,1
75106,Debit,2025-01-01,2025-03-01,4,2,Advance shipping,0,Standard Class,1,0.059999999,68,Eastern Asia,EE. UU.,Corporate,-2,1,1
75116,Debit,2025-01-01,2025-03-01,4,2,Advance shipping,0,Standard Class,1,0.170000002,68,Southeast Asia,EE. UU.,Corporate,-2,1,1
75144,Debit,2025-01-01,2025-03-01,2,5,Late delivery,1,Second Class,1,0.039999999,68,Eastern Asia,Puerto Rico,Consumer,3,0,1
75131,Debit,2025-01-01,2025-03-01,2,2,Shipping on time,0,Second Class,1,0.25,68,South Asia,Puerto Rico,Consumer,0,1,1
75149,Debit,2025-01-01,2025-03-01,2,5,Late delivery,1,Second Class,1,0.25,68,Southeast Asia,Puerto Rico,Consumer,3,0,1
75122,Debit,2025-01-01,2025-04-01,4,3,Advance shipping,0,Standard Class,1,0.090000004,68,South Asia,EE. UU.,Corporate,-1,1,1
75098,Transfer,2025-01-01,2025-05-01,2,4,Late delivery,1,Second Class,1,0.170000002,68,Oceania,Puerto Rico,Home Office,2,0,1
75123,Cash,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.07,68,Oceania,EE. UU.,Corporate,1,0,1
75104,Debit,2025-01-01,2025-03-01,4,5,Late delivery,1,Standard Class,1,0.090000004,68,Oceania,Puerto Rico,Consumer,1,0,1
75095,Debit,2025-01-01,2025-02-01,4,6,Late delivery,1,Standard Class,1,0.25,68,Oceania,Puerto Rico,Consumer,2,0,1
75112,Cash,2025-01-01,2025-04-01,4,3,Advance shipping,0,Standard Class,1,0.0,68,Southeast Asia,EE. UU.,Corporate,-1,1,1
75124,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.059999999,68,South Asia,EE. UU.,Corporate,1,0,1
75083,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.150000006,67,Southeast Asia,EE. UU.,Corporate,1,0,1
75085,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.119999997,67,Oceania,EE. UU.,Corporate,1,0,1
75088,Debit,2025-01-01,2025-03-01,1,2,Late delivery,1,First Class,1,0.07,67,Eastern Asia,Puerto Rico,Corporate,1,0,1
75136,Payment,2025-01-01,2025-02-01,0,1,Late delivery,1,Same Day,1,0.150000006,68,Eastern Asia,EE. UU.,Corporate,1,0,1
75094,Cash,2025-01-01,2025-03-01,4,5,Late delivery,1,Standard Class,1,0.0,68,Oceania,EE. UU.,Consumer,1,0,1
75143,Payment,2025-01-01,2025-05-01,2,4,Late delivery,1,Second Class,1,0.050000001,68,Oceania,EE. UU.,Consumer,2,0,1
75119,Debit,2025-01-01,2025-03-01,4,5,Late delivery,1,Standard Class,1,0.129999995,68,Southeast Asia,Puerto Rico,Corporate,1,0,1
75134,Debit,2025-01-01,2025-03-01,4,5,Late delivery,1,Standard Class,1,0.170000002,68,South Asia,Puerto Rico,Corporate,1,0,1
75107,Debit,2025-01-01,2025-04-01,4,3,Advance shipping,0,Standard Class,1,0.050000001,68,Eastern Asia,Puerto Rico,Corporate,-1,1,1
